Station;Date;Comment;Earthquake;HW/SW_Change;Unknown;Use
ABEC;2016-04-16;ecuador eq;1;0;0;1
ALEC;2016-04-16;ecuador eq;1;0;0;1
ALUM;2010-02-27;Chile EQ;1;0;0;1
ALUM;2010-02-27;chile eq 2015;1;0;0;1
ANTC;2010-02-27;Chile EQ;1;0;0;1
AREQ;2000-01-02;Arequipa earthquake (7,2);1;0;0;1
AREQ;2001-06-23;EQ;1;0;0;1
AREQ;2002-08-27;Cable change;0;1;0;1
AREQ;2007-12-02;-;0;0;1;1
AREQ;2014-04-01;northern chile 2014 eq#1;1;0;0;1
AREQ;2014-04-12;northern chile 2014 eq#2;1;0;0;1
AUTF;2006-03-30;disc;0;1;0;1
AUTF;2017-03-23;disc;0;1;0;1
AUTF;2017-09-15;disc;0;1;0;1
AZUL;2010-02-27;Chile EQ;1;0;0;1
BCAR;2010-02-27;Chile EQ;1;0;0;1
BDOS;2005-06-05;Martinique earthquake (7,4);1;0;0;1
BDOS;2007-11-29;EQ;1;0;0;1
BDOS;2007-12-02;-;0;0;1;1
BEPA;2018-07-13;disc;0;1;0;0
BHEC;2016-04-16;ecuador eq;1;0;0;1
BNGA;2010-03-11;disc;0;1;0;0
BNGA;2012-05-10;disc;0;1;0;0
BOGA;2014-04-07;disc;0;1;0;0
BOGA;2018-07-17;disc;0;1;0;0
BOGT;2002-05-23;Antenna swap;0;1;0;0
BOGT;2005-07-17;-;0;0;1;0
BRAZ;2000-01-02;Antenna & receiver change;0;1;0;1
BRAZ;2007-03-13;disc;0;1;0;1
BRAZ;2007-03-18;-;0;0;1;1
BRAZ;2012-09-18;disc;0;1;0;1
BRAZ;2012-11-27;disc;0;1;0;1
BRAZ;2013-04-25;disc;0;1;0;1
BRAZ;2014-09-17;disc;0;1;0;1
BRAZ;2014-10-23;disc;0;1;0;1
BRAZ;2014-12-23;disc;0;1;0;1
BRAZ;2015-01-21;disc;0;1;0;1
BRAZ;2015-02-26;disc;0;1;0;1
BRAZ;2015-04-15;disc;0;1;0;1
BRAZ;2016-02-03;disc;0;1;0;1
BRAZ;2016-09-28;disc;0;1;0;1
BRMU;2000-01-02;Antenna & receiver change;0;1;0;1
BRMU;2003-03-12;Jump;0;0;1;1
BRMU;2009-04-13;-;0;0;1;1
BRMU;2011-09-28;Antenna change;0;1;0;1
CATA;2010-02-27;Chile EQ;1;0;0;1
CATA;2015-09-16;chile eq 2015;1;0;0;1
CBMB;2014-04-01;northern chile 2014 eq#1;1;0;0;1
CBMB;2014-04-12;northern chile 2014 eq#2;1;0;0;1
CBSB;2005-11-19;Jump;0;0;1;1
CBSB;2008-11-27;-;0;0;1;1
CEEU;2008-03-03;disc;0;1;0;1
CEEU;2009-10-16;disc;0;1;0;1
CEEU;2012-08-30;disc;0;1;0;1
CEEU;2014-10-29;disc;0;1;0;1
CEFT;2008-08-13;disc;0;1;0;1
CEFT;2012-09-18;disc;0;1;0;1
