,,loglog,,,,expexp,,,,logexp,,,
station,coordinate,rms15w,rms1y,rms2y,rms,rms15w,rms1y,rms2y,rms,rms15w,rms1y,rms2y,rms
21701S007A03,1,3.031,3.253,3.177,3.351,4.134,3.731,3.595,3.611,3.018,3.261,3.177,3.352
21701S007A03,2,2.920,2.405,2.487,2.583,2.694,2.348,2.423,2.662,2.789,2.316,2.408,2.575
21701S007A03,3,6.529,6.199,6.587,7.929,6.468,5.954,6.397,7.863,6.457,5.897,6.394,7.87
21702M002A07,1,1.818,2.17,2.092,2.062,3.531,3.212,2.749,2.617,1.885,2.183,2.081,2.069
21702M002A07,2,2.904,2.582,2.641,2.654,3.566,2.838,2.82,2.76,3.005,2.611,2.662,2.672
21702M002A07,3,5.358,5.57,5.431,5.644,5.364,5.569,5.427,5.637,5.379,5.579,5.431,5.655
21729S007A04,1,1.928,1.911,1.893,2.045,2.335,2.15,2.016,2.118,1.933,1.917,1.892,2.045
21729S007A04,2,2.757,2.977,2.781,2.909,2.723,2.924,2.755,2.914,2.776,2.981,2.791,2.939
21729S007A04,3,6.923,8.67,8.637,9.854,6.99,8.683,8.677,9.876,6.917,8.671,8.632,9.843
21754S001A01,1,1.868,1.788,1.715,1.803,2.011,1.88,1.748,1.782,1.632,1.696,1.628,1.683
21754S001A01,2,1.608,1.594,1.616,1.628,1.709,1.664,1.686,1.674,1.799,1.688,1.672,1.645
21754S001A01,3,4.323,4.852,4.667,4.654,4.28,4.867,4.696,4.67,4.333,4.815,4.654,4.64
21762S001A01,1,1.454,1.471,1.474,1.519,1.761,1.742,1.69,1.656,1.966,1.698,1.613,1.61
21762S001A01,2,1.748,1.702,1.711,1.722,1.71,1.663,1.693,1.727,1.727,1.692,1.693,1.712
21762S001A01,3,4.214,4.338,4.367,4.427,4.131,4.301,4.346,4.416,4.192,4.239,4.276,4.364
21778S001A01,1,1.715,1.603,1.702,1.643,1.59,1.61,1.666,1.581,1.497,1.461,1.509,1.491
21778S001A01,2,1.987,1.635,1.647,1.58,1.605,1.487,1.535,1.509,1.665,1.502,1.522,1.494
21778S001A01,3,3.264,3.478,3.457,3.593,3.234,3.46,3.448,3.584,3.431,3.488,3.459,3.591
23104M001A01,1,2.193,2.185,2.209,2.656,2.936,2.844,2.81,2.79,2.261,2.22,2.222,2.644
23104M001A01,2,2.137,2.015,2.05,2.38,2.671,2.482,2.435,2.491,2.794,2.51,2.424,2.496
23104M001A01,3,7.067,7.132,7.061,8.638,8.875,8.903,8.48,9.224,6.877,7.113,7.039,8.654
23114M001A01,1,2.275,2.308,2.251,2.204,2.631,2.584,2.41,2.28,2.28,2.318,2.263,2.199
23114M001A01,2,2.684,2.473,2.418,2.337,3.957,3.69,3.022,2.636,2.327,2.425,2.54,2.384
23114M001A01,3,6.153,6.874,6.702,6.848,6.237,6.735,6.649,6.822,5.994,6.788,6.77,6.858
41705M003A04,1,1.685,1.851,1.76,1.963,1.828,1.861,1.781,1.977,1.828,1.834,1.788,1.971
41705M003A04,2,1.386,1.36,1.343,1.41,1.149,1.333,1.315,1.454,1.122,1.253,1.315,1.381
41705M003A04,3,3.683,3.916,3.696,3.87,3.478,3.877,3.666,3.833,3.534,3.883,3.668,3.827
41713S001A02,1,1.995,2.371,2.199,2.279,2.599,2.221,2.029,2.146,1.923,2.155,1.976,2.116
41713S001A02,2,1.719,1.751,1.675,1.735,1.7,1.71,1.68,1.743,1.733,1.73,1.671,1.733
41713S001A02,3,4.293,5.114,4.677,4.515,4.346,5.165,4.706,4.536,4.293,5.113,4.675,4.512
41719M004A02,1,1.744,1.628,1.536,1.62,1.845,1.702,1.729,1.82,1.594,1.546,1.626,1.752
41719M004A02,2,1.537,1.472,1.429,1.436,1.438,1.446,1.4,1.415,1.461,1.453,1.404,1.411
41719M004A02,3,3.589,3.686,3.702,3.685,3.531,3.672,3.69,3.675,3.586,3.682,3.701,3.683
